317,robbystarbuck,straight,insan,watch,stuff,,,,,,,,,,,
318,darkenigmat,uddudeenough,mockingbird,media,dnc,tri,politic,viru,sheep,go,wake,andu,,,,
319,kathydrog,instead,fear,amp,panic,lifetim,threat,let,pull,kind,,,,,,
320,salmannizami,uighur,muslim,lock,china,kashmiri,muslim,lock,indiannth,world,mum,,,,,
321,sar,go,kill,usn,swine,flu,go,kill,usn,mayan,calendar,predict,world,endingnu,,
322,captfrightnit,uufefn,kind,cashier,pack,groceriesn,buy,stupid,amount,toiletriesfood,dont,neeu,,,,
323,coleyp,choos,worship,worri,faith,fear,,,,,,,,,,
324,sruhl,enorm,fear,airlinetravel,event,busi,coronaviru,busi,recalibr,make,compani,decu,,,,
325,alexia,ianbremm,authoritarian,govern,propaganda,feardriven,rule,silenc,whistleblow,caus,theu,,,,,
326,alexisohanian,wrong,theranosny,wrong,covidufc,nnthi,stoke,fear,,,,,,,,
327,tiffanydcross,new,hope,temporari,realiti,rememb,anxieti,fear,decreas,immun,stay,strong,,,,
328,brumbyoz,ndtv,give,space,danger,idea,potenti,caus,mass,casualti,,,,,,
329,ucth,scari,dese,ocean,blood,,,,,,,,,,,
330,cjcflint,american,presidentsnnkennedi,nich,bin,ein,berlinernnfdr,nonli,thing,fear,,,,,,
331,joesilverman,roddreh,robprovinc,rdvaleri,theori,peopl,usual,er,bump,andu,,,,,,
332,krisstel,letu,start,spread,faith,instead,fear,,,,,,,,,
333,ciaraioch,udcudfb,home,templ,bar,gowl,,,,,,,,,,
334,drbillwinston,fear,make,say,thing,thought,youud,say,hold,tongu,constitut,,,,,
335,craiggroeschel,world,shaken,,,,,,,,,,,,,
336,albertpagunsan,thread,martial,lawnni,think,peopl,absolut,curfew,lockdown,peopl,just,fearu,,,,
337,iamraoulmanuel,hi,ms,bianca,lockdown,curfew,caus,widespread,fear,,,,,,,
338,kanchangupta,im,pretti,sure,arvindkejriw,know,fact,know,lie,brazenli,know,brazen,lie,isu,,
339,mahiefi,overcam,fear,water,guy,preciou,lil,beanuddudeu,shehnaazgil,sidnaaz,,,,,,
340,sar,go,kill,usn,swine,flu,go,kill,usn,mayan,calendar,predict,world,endingnu,,
341,dont,fear,defeat,believ,reveal,power,didnt,know,possess,napoleon,hill,,,,,
342,starkmaximum,gametheoryrejct,marknus,,,,,,,,,,,,,
343,libertytarian,concern,isnth,social,engin,coronavirusnnpanicbuyingnsocialdistancingnentir,shutdown,su,,,,,,,,
344,staer,cloakedfighternntokyo,,,,,,,,,,,,,,
345,sar,go,kill,usn,swine,flu,go,kill,usn,mayan,calendar,predict,world,endingnu,,
346,drstevenjlawson,coronaviru,caus,death,,,,,,,,,,,,
347,tomtugendhat,world,pay,extraordinari,price,cultur,fear,silenc,creat,beijingu,communist,parti,tyranu,,,
348,sar,go,kill,usn,swine,flu,go,kill,usn,mayan,calendar,predict,world,endingnu,,
349,godlovesusa,american,need,hearnour,presid,bestudcuddfaudcuddfnto,ensur,work,american,impact,viru,cu,,,,
350,admirephil,know,make,happi,fact,dnp,come,dan,confirm,just,romant,didntu,,,,
351,life,begin,fear,end,,,,,,,,,,,,
352,kingchuckjr,fear,allah,,,,,,,,,,,,,
353,fearless,chaosnsometim,just,filter,outnal,thing,stop,younfrom,take,risk,live,fu,,,,
354,eskahn,michellelani,power,doe,corrupt,fear,corrupt,fear,loss,poweh,fear,legaci,,,,
